상호명,주소,위도,경도
제일슈퍼,인천광역시 연수구 함박안로 156번길 6,37.426805,126.683655
은성마트,인천광역시 연수구 함박안로 62번길 48,37.425978,126.681381
슈퍼맨슈퍼마켓,인천광역시 연수구 함박로 8번길 3,37.425282,126.678878
진우슈퍼,인천광역시 연수구 먼우금로 251번길 8-20,37.420118,126.679769
성심슈퍼,인천광역시 연수구 함박뫼로 50번길 15-11,37.421569,126.674813
함박할인마트,인천광역시 연수구 함박로 83번길 3,37.425019,126.686352
롯데슈퍼 연수함박점,인천광역시 연수구 비류대로 433번길 11,37.424921,126.682592
emart24인천연수점,인천광역시 연수구 새말로 20,37.422464,126.673309
롯데마켓999연수1동점,인천광역시 연수구 새말로 70,37.41955,126.677589
세븐일레븐 연수푸른,인천광역시 연수구 함박로 58,37.425379,126.683606
(주)다올레,인천광역시 연수구 비류대로 433번길 18,37.425071,126.68308
무지개할인마트,인천광역시 연수구 새말로 36번길 11,37.421682,126.674714
잉꼬슈퍼,인천광역시 연수구 비류대로 331번길 5,37.425383,126.671367
소망마트,인천광역시 연수구 함박로 13-1,37.425948,126.678604
문남슈퍼,인천광역시 연수구 함박뫼로 100,37.422492,126.678058
보금마트,인천광역시 연수구 함박로 25번길 2,37.424716,126.682009
삼보홈마트,인천광역시 연수구 새말로 27,37.423701,126.675009
효정슈퍼,인천광역시 연수구 새말로 6 상가 108호,37.424097,126.672134
세븐일레븐함박희망점,인천광역시 연수구 함박로 3번길 4,37.424986,126.678491
GS25 연수우주점,인천광역시 연수구 함박뫼로 115,37.423269,126.679392
이마트24 R연수행복,"인천광역시 연수구 새말로 55, 1층(연수동)",37.420695,126.676687
연수슈퍼,인천광역시 연수구 원인재로 212,37.41463,126.687318
연수시온마트,인천광역시 연수구 벚꽃로 114,37.417019,126.678112
솔밭할인마트,"인천광역시 연수구 원인재로 212,상가동 지하층 B01(솔밭마을apt)",37.414683,126.687855
우성할인마트,인천광역시 연수구 원인재로 180,37.41179,126.685076
현대마트,인천광역시 연수구 샘말로 61번길 19,37.414373,126.67886
롯데슈퍼연수2동점,인천광역시 연수구 원인재로 180,37.41179,126.685076
이리옴마트,인천광역시 연수구 먼우금로 188번길 12,37.413384,126.676506
(주)아트모아,인천광역시 연수구 샘말로 38번길 19,37.412501,126.679844
세븐일레븐 연수만인,인천광역시 연수구 용담로 117번길 41,37.416548,126.678586
